,0
89,['Verdachten schietpartij Harderwijk vragen hof om vrijlating vanwege corona']['Twee mannen (25 en 34) uit Harderwijk die hoger beroep aantekenden tegen de acht en vijf jaar die ze kregen voor poging tot doodslag na een schietpartij ...']
90,['Corona veroorzaakt piek in oneerlijke handelspraktijken']['Telers merken een toename van het gebruik van oneerlijke handelspraktijken (OHP) in de loop van de coronapandemie. Dat de uitvoering van de ...']
91,['Griekenland verplaatst honderden migranten naar het vasteland uit angst voor corona-uitbraak']['Op het Griekse eiland Lesbos worden honderden kwetsbare migranten met de boot naar het Griekse vasteland gebracht. Dat komt omdat Griekenland een ...']
92,"['KLM verplicht mondkapjes, start Europese netwerk \'langzaam verder op\'']['Over een kleine tien minuten begint op de Dam in Amsterdam de Nationale Dodenherdenking, die voor het eerst zonder toeschouwers wordt gehouden.']"
93,"['De regels voor het innovatielab 2.0 in tijden van corona']['Een aantal jaar geleden was ik aanwezig op een evenement van IAB in Mexico Stad. Na de verplichte nummertjes over nieuwe software vanuit Microsoft, ...']"
94,['Mondkapje met bedrijfslogo redding in corona-crisis']['Tot half maart liepen de orders van M2 Printing van broers Sander en Menno Muller \'fantastisch\'. Toen brak corona door. „Ineens werden om de tien minuten ...']
95,"['Kapitaalintensiteit en corona desastreuze combinatie voor touringcarsector']['DEN HAAG - De touringcarsector dreigt om te vallen. Dit komt door de coronamaatregelen, gecombineerd met het kapitaalintensieve karakter van de branche.']"
96,"['Corona | \'Accountantscontrole vanuit letter én geest van steunmaatregelen\'']['Bij het aanvragen van noodsteun voor ondernemers via de NOW moeten accountants niet alleen de letter, maar ook de geest van de regeling goed in het oog ...']"
97,['Eenzame eerste krans vanwege corona bij nieuw monument in Zaltbommel']['DODENHERDENKINGZALTBOMMEL/SINT-ANDRIES - Bij toeval komen ze bijna op hetzelfde moment bij de begraafplaats aan de Bossche Poort in ...']
98,"['De corona-lessen van ""Downton Abbey"": ""In die tijden deden ze aan perfecte social distancing""']['Vanaf vanavond zendt BBC First (ook bij ons te bekijken) de eerste 4 seizoenen van de Britse reeks ""Downton Abbey"" opnieuw uit. Hoofdrolspeler Hugh ...']"
99,['Corona-ouderschapsverlof: wat kan en wat brengt het op?']['Het corona-ouderschapsverlof moet het voor ouders tussen 1 mei en 30 juni makkelijker maken werk en de opvang van hun kinderen te combineren.']
